,X,Team,Year,Gender,Grade,Level,Requests,Not Same Time As
,,807-SPRINGFIELD HUSKIES,,B,8,I,"wants all Sats 2/18, 3/3, 17",
,,841*-BOOGER COUNTY BALLERS,,B,8,C,AFTER 7:00 ON WED AND AFTER 2:00 ON SUN. WANTS DH,
,,8410*-TIGERS-MALAM,,B,8,C,"WED AFTER 5:30, SUN AFTER 2:00",
,,842*-CMS LIONS,,B,8,C,Wants Wed no earlier than 6:20. NO 3/17-25. NO Sat/Sun in March or April,
,,843*-FUTURE FALCONS BOYS JH,,B,8,C,,
,,844*-JACKETS-CARR,,B,8,C,,
,,845*-MBA MUSTANGS,,B,8,C,Wants early on Wed or Sat due to church.,
,,846*-MO FLIGHT 8,,B,8,C,"NO 3/16-18, 23-25.  3/14 before 8",MO FLIGHT 7
,,847*-PANTHERS-MCMILLEN,,B,8,C,,
,,848*-PANTHERS-PETERSON,,B,8,C,"NEEDS DH from 2/8-3/7. NEED AFTER 7:00 on 3/7, sun after 2:10",
,,849*-SPFD BEARS JH II,,B,8,C,,
79,,851-FUTURE FALCONS GIRLS JH,,G,8,I,NO 4:40 on Wed,
,,852-LADY CARDINALS-PHILLIPS,,G,8,R,"NO WED DUE TO V-BALL, AFTER 2 ON SU",
,,853-LADY CARDS-HADLOCK,,G,8,R,,
75,,854-LADY EAGLES-DRAKE JH,,G,8,R,"no 12:30, DH. no Wed.",
,,855-LADY EAGLES-SPARKS,,G,8,R,WANTS ALL SUNDAYS,
,,856-LADY JAYS-TAYLOR,,G,8,I,Wants most of games in Feb. no games before 12:30. After 6:30 on Wed. NO 3/8-17,
,,857-LADY MOUNTAINEERS-MADDOCKS,,G,8,R,"NO WED, WANTS SUN AFTERNOONS",
,,858-MISSOURI VALLEY MAGIC 6TH,,G,7,I,"NO 3/3-4, 25-26. NO APRIL 6-7",
,,891-*BOLEY SELECT GIRLS,,G,7,C,"WANTS DH FIRST 5 WEEKS. NO WEEKENDS, NO 3-10,12, 23, 24, 25",
79,,892*-HOOSIERS,,G,8,C,,
,,893*-LADY EAGLES-LAMB,,G,8,C,,
,,894*-LADY PANTHERS-FRANCKA,,G,8,C,,
,,895*-LADY TIGERS-BACH,,G,8,C,Dates Open to Play .  We have Volleyball to work around Sat March 3rd Sun. March 11th by 3:30 Any Tuesday's or Friday's before Feb 27th,
79,,896*-LADY VELOCITY,,G,8,C,NO SUN,
,,897*-MO FLIGHT-MAPLES,,G,8,C,"Wants Wed.  DH, NO 4:40",
,,898*-MO VALLEY LADY PIRATES,,G,8,C,"Can only play 3/4, 18. Need after 2 on Sun. DH",
,,899*-WILLPOWER,,G,8,C,,
